number,latitude,longitude,time,step,surface,valid_time,u10,v10,t2m,cape,msl,sp,tcc,depthBelowLandLayer,swvl1
0,28.0,19.0,2024-01-01,0 days,0.0,2024-01-01,1.5540571,-0.19526386,284.54004,4.8125,102269.94,99457.06,0.27471268,0.0,0.0057148393
0,28.0,19.5,2024-01-01,0 days,0.0,2024-01-01,1.4451704,-0.21430683,284.2881,4.0,102256.69,99805.06,0.26731217,0.0,0.0048298296
0,28.0,20.0,2024-01-01,0 days,0.0,2024-01-01,1.5267134,-0.32661152,284.24512,2.5625,102243.19,99842.06,0.23171341,0.0,0.004661983
0,27.5,10.0,2024-01-01,0 days,0.0,2024-01-01,-1.5592241,-0.74458027,283.09473,0.0,102364.56,96425.06,0.18798172,0.0,-7.206807e-06
0,27.5,10.5,2024-01-01,0 days,0.0,2024-01-01,-1.4884233,-0.77387714,282.77246,0.0,102368.69,96354.06,0.16143143,0.0,-7.206807e-06
0,27.5,11.0,2024-01-01,0 days,0.0,2024-01-01,-1.2701616,-0.64301777,282.63965,0.0,102369.56,96217.06,0.16733658,0.0,0.0025257522
0,27.5,11.5,2024-01-01,0 days,0.0,2024-01-01,-0.888814,-0.73676777,282.22754,0.0625,102371.19,96131.06,0.1731044,0.0,0.008293575
0,27.5,12.0,2024-01-01,0 days,0.0,2024-01-01,-0.48891163,-0.68256855,282.18457,0.25,102368.56,96421.06,0.18596756,0.0,-7.206807e-06
0,27.5,12.5,2024-01-01,0 days,0.0,2024-01-01,-0.5162554,-0.6557131,282.5088,2.3125,102365.31,96764.06,0.20675004,0.0,0.005882686
0,27.5,13.0,2024-01-01,0 days,0.0,2024-01-01,-0.49867725,-0.74799824,282.7373,2.625,102363.56,97026.06,0.21440995,0.0,0.013039058
0,27.5,13.5,2024-01-01,0 days,0.0,2024-01-01,-0.38637257,-1.1601076,283.2666,1.5,102361.19,96810.06,0.2074672,0.0,0.008827632
0,27.5,14.0,2024-01-01,0 days,0.0,2024-01-01,-0.42055225,-1.3080568,283.52637,1.625,102357.44,97007.06,0.20569718,0.0,0.008919185
0,27.5,14.5,2024-01-01,0 days,0.0,2024-01-01,-0.19936085,-1.2689943,283.4795,1.0,102353.94,97240.06,0.21381485,0.0,0.008949703
